what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331935893118
error,log,,,"Unhandled event loop exception",1331935893132
error,log,,,"Unhandled event loop exception",1331935902997
error,log,,,"Unhandled event loop exception",1331935905747
error,log,,,"Unhandled event loop exception",1331935918420
error,log,,,"Unhandled event loop exception",1331935925564
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331935925836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331935926913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331935927103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331935927297
error,log,,,"Unhandled event loop exception",1331935931623
error,log,,,"Unhandled event loop exception",1331935933832
error,log,,,"Unhandled event loop exception",1331935936592
error,log,,,"Unhandled event loop exception",1331935937700
error,log,,,"Unhandled event loop exception",1331935939312
error,log,,,"Unhandled event loop exception",1331935941521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331935943913
error,log,,,"Unhandled event loop exception",1331935943927
error,log,,,"Unhandled event loop exception",1331935943946
error,log,,,"Unhandled event loop exception",1331935943962
error,log,,,"Unhandled event loop exception",1331935944786
error,log,,,"Unhandled event loop exception",1331935944791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331935955424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331935956284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331935965156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331935967422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331936012915
error,log,,,"Unhandled event loop exception",1331936023834
error,log,,,"Unhandled event loop exception",1331936023843
error,log,,,"Unhandled event loop exception",1331936027352
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331936040585
error,log,,,"Unhandled event loop exception",1331936071655
error,log,,,"Unhandled event loop exception",1331936071743
error,log,,,"Unhandled event loop exception",1331936072609
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936094851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331936121826
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936127409
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133002
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133003
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133031
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133046
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133125
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133494
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133542
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936133560
error,log,,,"TableRowRule.onResizeEnd() failed: java.lang.NullPointerException",1331936133967
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936134847
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936134849
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936134877
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936134897
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936134909
